name,artist,artist_followers,popularity,duration_ms,explicit,album_type,release_date
sobelove,Beéle,3931663,76,131827,False,album,2025-05-15
Loco,Beéle,3931663,78,204000,False,single,2019-08-08
PERO NO TE ENAMORES,Fuerza Regida,22264456,80,183846,True,album,2024-07-25
Si No Quieres No,Luis R Conriquez,9698318,79,147011,False,single,2024-03-10
UNA CERVEZA,Fuerza Regida,22264456,80,279275,True,album,2023-10-20
OHNANA,Kapo,1239685,77,156600,False,album,2025-07-03
Confident,Justin Bieber,86486506,88,248133,False,album,2014-05-13
NUBES,De La Rose,1784009,73,271801,True,album,2025-11-13
Driving Home for Christmas,Chris Rea,1191218,81,240213,False,compilation,2007-11-10
Driving Home for Christmas - 2019 Remaster,Chris Rea,1191218,81,241626,False,album,1987-08-02
Por Esos Ojos,Fuerza Regida,22264456,81,188064,True,album,2025-05-02
Say Why,Zach Bryan,7667957,79,143985,False,album,2026-01-09
Appetite,Zach Bryan,7667957,78,185174,True,album,2026-01-09
DeAnn's Denim,Zach Bryan,7667957,76,161384,False,album,2026-01-09
Skin,Zach Bryan,7667957,76,175159,True,album,2026-01-09
Bad News,Zach Bryan,7667957,78,196382,True,album,2026-01-09
Cairo,Victor Mendivil,3464614,76,175117,True,album,2025-07-24
Anyways,Zach Bryan,7667957,75,203985,True,album,2026-01-09
Cuando Nadie Ve,Morat,14223123,78,219586,False,album,2018-10-25
South and Pine,Zach Bryan,7667957,75,201506,True,album,2026-01-09
Como De Sol A Sol,Rawayana,1094850,68,122986,True,album,2026-01-01
Slicked Back,Zach Bryan,7667957,75,231241,False,album,2026-01-09
Dry Deserts,Zach Bryan,7667957,76,151472,True,album,2026-01-09
Runny Eggs,Zach Bryan,7667957,76,232402,True,album,2026-01-09
Drowning,Zach Bryan,7667957,76,185450,False,album,2026-01-09
Santa Fe,Zach Bryan,7667957,76,174197,False,album,2026-01-09
EYES CLOSED (with ZAYN),JISOO,7851162,84,181375,False,single,2025-10-10
Friends,Chase Atlantic,10852599,85,230010,False,single,2015-02-21
"Lover, You Should've Come Over",Jeff Buckley,2500705,86,404213,False,album,1994
(I Just) Died In Your Arms,Cutting Crew,559443,84,280400,False,album,1986-01-01
LET THE WORLD BURN,Chris Grey,1193183,85,163290,False,single,2024-03-08
Better Me For You (Brown Eyes),Max McNown,757278,82,194120,False,album,2025-01-24
Belleza De Cantina,Cardenales De Nuevo León,3217121,79,183946,False,album,2002-01-01
Wicked Game,Chris Isaak,807221,86,289066,False,album,1989-06-13
International Love (feat. Chris Brown),Pitbull,12278620,83,227280,False,album,2011-06-17
Under The Influence,Chris Brown,29570078,85,184203,True,album,2019-10-04
NOW OR NEVER,Tkandz,101647,86,123428,False,single,2025-09-15
Indigo (feat. Avery Anna),Sam Barber,941222,82,286634,False,album,2024-11-01
EL CLúB,Bad Bunny,106779087,81,222568,True,album,2025-01-05
Attention,Charlie Puth,25742560,88,208786,False,album,2018-05-11
Fame is a Gun,Addison Rae,1646642,86,183237,False,album,2025-06-06
a thousand years,Christina Perri,4373854,85,285120,False,single,2011-10-18
Borro Cassette,Maluma,39513083,85,207296,False,album,2015-10-30
Why'd You Only Call Me When You're High?,Arctic Monkeys,33021739,86,161123,False,album,2013-09-09
MIENTRAS DUERMES,Junior H,30064751,87,226035,True,album,2023-10-05
Paradise,Coldplay,62175564,86,278719,False,album,2011-10-24
Beanie,Chezile,354672,84,132160,False,single,2023-11-28
Shut up My Moms Calling,Hotel Ugly,1147111,88,164571,False,single,2020-02-10
Take Me to Church,Hozier,9291199,81,241688,False,album,2014-09-19
Nine Ball,Zach Bryan,7667957,81,169940,False,single,2023-09-22
Which One (feat. Central Cee),Drake,106139892,82,169134,True,single,2025-07-25
Gnarly,KATSEYE,7382334,88,137316,True,single,2025-04-30
No Me Conoce - Remix,JHAYCO,9740253,85,309120,False,album,2019-05-24
Me Porto Bonito,Bad Bunny,106779087,84,178567,True,album,2022-05-06
WELTiTA,Bad Bunny,106779087,85,187507,False,album,2025-01-05
FE!N (feat. Playboi Carti),Travis Scott,42297835,85,191700,True,album,2023-07-28
Last Christmas - Remastered,Wham!,3244988,78,267160,False,compilation,2006-11-11
TU TU TU,Clave Especial,1366662,78,151570,True,album,2025-02-20
Winter Wonderland - Spotify Singles Holiday,Laufey,9182307,85,132800,False,single,2023-11-14
告白氣球,Jay Chou,7891162,65,215146,False,album,2016-06-24
"Getting Paid ​(f​eat​. Asake, Wizkid, Skillibeng​)",Sarz,700094,74,148550,True,album,2025-09-25
GRAN VÍA,Quevedo,6636600,74,213528,False,album,2024-11-22
7-3,Peso Pluma,25330945,87,189102,True,album,2025-12-25
Me Gustas,Joan Sebastian,13627550,75,207586,False,album,2000-04-05
WE GO UP,BABYMONSTER,6551020,81,186973,False,single,2025-10-10
Princess Bubblegum,ilyTOMMY,522164,77,95708,False,single,2018-07-30
Another Day in Paradise - 2016 Remaster,Phil Collins,7607607,83,322133,False,album,1989-11-20
No Capea,Xavi,8661857,82,194605,False,single,2025-08-25
Lush Life,Zara Larsson,11405843,93,200646,False,album,2017-03-17
Amor Prohibido,Grupo Bryndis,3429498,74,229653,False,album,1993-01-01
Messy,Lola Young,1580852,84,284068,True,single,2024-05-30
ME GUSTAS CC,ROA,1780745,79,173573,True,album,2024-12-13
Seven Minutes in Heaven,Mindless Self Indulgence,1729202,79,133979,True,album,2024-06-15
Photograph,Ed Sheeran,124409992,87,258986,False,album,2014-06-21
Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky,17874983,82,205813,True,album,2018-05-25
Stuck with U (with Justin Bieber),Ariana Grande,109169656,81,228482,False,single,2020-05-08
Landslide,Fleetwood Mac,14487335,87,199493,False,album,1975-07-11
Umbrella,Rihanna,70915955,85,275986,False,album,2008-06-02
Qué Onda Perdida,Grupo Firme,16110616,79,239637,False,single,2023-03-30
Un Beso,Aventura,10944874,75,263346,False,album,2005-04-26
OMG,NewJeans,12210826,80,212253,False,single,2023-01-02
Hey Daddy (Daddy's Home),USHER,14183607,82,224093,False,album,2010-03-30
Way down We Go,KALEO,2086113,84,213706,False,album,2016-06-10
Burn It to the Ground,Nickelback,8038119,79,212346,False,album,2008-11-14
En Tu Perra Vida,Grupo Firme,16110616,77,238677,True,single,2021-05-12
Sobredosis (feat. Ozuna),Romeo Santos,27652600,78,198332,False,album,2017-07-21
NO SE VA - En Vivo,Grupo Frontera,7877999,77,193816,False,album,2023-08-25
Desvelado,Bobby Pulido,847315,80,221226,False,album,1995-01-01
Hotel California - 2013 Remaster,Eagles,12398949,86,391376,False,album,1976-12-08
Dreamin,PARTYNEXTDOOR,10739414,81,147146,True,single,2015-03-08
un x100to,Grupo Frontera,7877999,79,194563,False,single,2023-04-17
Di Que Sí,Grupo Marca Registrada,6471148,76,190553,False,album,2023-05-12
One Last Breath,Creed,4489447,84,238240,False,album,2001-01-01
AY MAMÁ,Tito Double P,13059525,79,163031,True,album,2024-08-22
LUNA,Peso Pluma,25330945,78,163551,True,album,2023-06-29
Duvet,bôa,1258191,86,203600,False,album,2001-03-21
Say You Won't Let Go,James Arthur,21168162,85,211477,False,album,2016-10-28
Ella Y Yo - Featuring Don Omar,Aventura,10944874,79,267786,False,album,2005-04-26
Ya Supérame (En Vivo),Grupo Firme,16110616,77,189050,False,single,2021-08-13
QUE VUELVAS,Grupo Frontera,7877999,78,169418,False,album,2023-08-25
Not Allowed,TV Girl,13365542,85,167864,True,album,2016-02-25
The Chain - 2004 Remaster,Fleetwood Mac,14487335,88,270213,False,album,1977-02-04
Die With A Smile,Lady Gaga,44132657,92,251667,False,single,2024-08-16
Lovers Rock,TV Girl,13365542,88,213920,False,album,2014-06-05
Please Come Home for Christmas - 2013 Remaster,Eagles,12398949,86,177440,False,single,1978-11-27
Jingle Bell Rock,Bobby Helms,89532,91,130973,False,single,1957-12-02
Perlas Negras,Natanael Cano,22843518,82,203357,False,album,2025-07-01
Worst Way,Riley Green,1511652,83,220558,False,album,2024-04-12
I Hate Everything About You,Three Days Grace,7555633,83,231480,False,album,2003-04-19
git,BLOK3,6137750,82,158774,False,single,2025-07-18
感谢你曾来过,阿涵,104638,65,250005,False,single,2017
Gaita Onomatopéyica,Gran Coquivacoa,101549,56,171320,False,album,1988
God Bless,Diljit Dosanjh,38052046,66,185000,False,album,2025-10-15
Где ты теперь и с кем,Basta,1894093,64,306493,False,single,2023-04-21
Gusto Ko Sakin Ka Lang,Robledo Timido,122351,72,193846,False,album,2024-11-22
Gallan 4,Talwiinder,3557436,74,195357,False,single,2020-06-13
遇見,Stefanie Sun,1250820,68,209760,False,album,2003
L'Amour Toujours,Gigi D'Agostino,1143999,78,242053,False,single,2001-05-23
LA VILLA,Ryan Castro,4800852,81,192111,True,single,2025-10-22
Shape Of My Heart,Sting,3961115,80,279226,False,album,1993-03-01
Chica Galáctica - W Sound 07,W Sound,918789,75,187151,True,single,2025-11-26
La Chica Del Este,Grupo Bryndis,3429498,71,242426,False,album,2006-01-01
Life Goes On,BTS,82124870,78,208088,False,album,2022-06-10
"BUENOS DIAS (feat. Tury, GeezyDee, CARABIN3)",Blessd,9705548,75,295458,True,single,2025-11-05
No Nos Vamos a Olvidar,Bronco,4753277,70,215746,False,album,1987
Na De Na,Angel Y Khriz,1288523,75,202866,True,album,2008
Mi Segunda Vida,La Arrolladora Banda El Limón De Rene Camacho,11019782,78,187640,False,album,2013-01-01
Drama,aespa,10243488,78,214973,False,album,2023-11-10
ALV,Arcángel,18362713,73,224285,False,album,2023-11-17
mezcal,Peso Pluma,25330945,80,176456,True,album,2025-12-25
Seven (feat. Latto) (Clean Ver.),Jung Kook,19116263,79,183550,False,album,2023-11-03
number one girl,ROSÉ,14058599,79,216442,False,album,2024-12-06
La Ocasión,DJ Luian,2412419,76,336149,False,single,2018-03-16
Hate Me,Ellie Goulding,13413456,83,188066,False,album,2020-07-16
El Ruido De Tus Zapatos,La Arrolladora Banda El Limón De Rene Camacho,11019782,76,265880,False,album,2013-01-01
Tu Traición,Grupo Bryndis,3429498,74,214293,False,album,1995-01-01
Animal I Have Become,Three Days Grace,7555633,82,231400,False,album,2006-06-25
POR QUÉ SERÁ,Grupo Frontera,7877999,74,209492,False,album,2024-05-10
Ese Vato No Te Queda,Carín León,18093438,77,198607,True,single,2024-10-24
Seventeen Going Under,Sam Fender,1268364,74,297933,True,album,2021-10-08
20s,Peso Pluma,25330945,80,171372,True,album,2025-12-25
It Almost Worked,TV Girl,13365542,79,152000,False,album,2020-05-01
Loving Machine,TV Girl,13365542,82,227000,False,album,2016-02-25
Killin' It Girl (feat. GloRilla),j-hope,19700938,75,148714,True,album,2025-06-17
¿Y Todo Para Qué?,Intocable,4629663,76,190533,False,album,1996-01-01
Ven Porque Te Necesito,Los Temerarios,7595834,76,175013,False,album,1989-01-01
Necesito Decirte,Conjunto Primavera,4089431,76,224506,False,album,1998-03-17
7 DIAS,Gabito Ballesteros,6546330,75,180688,True,single,2025-01-30
Yo Ya No Vuelvo Contigo - En Vivo,Lenin Ramírez,3460915,74,240456,True,single,2019-11-01
7 DÍAS,Gabito Ballesteros,6546330,74,180688,True,album,2025-05-23
Dancing Queen,ABBA,15400713,87,230400,False,album,1976
LA VILLA,Ryan Castro,4800852,81,192111,True,album,2025-10-23
Mi Historia Entre Tus Dedos - Remastered 2020,Gianluca Grignani,373292,77,308880,False,album,1995
Pink + White,Frank Ocean,21091353,87,184516,False,album,2016-08-20
El Beneficio De La Duda,Grupo Firme,16110616,78,245500,False,album,2025-05-08
Everywhere - 2017 Remaster,Fleetwood Mac,14487335,86,226653,False,album,1987-04-13
Don't Stop Believin' (2022 Remaster),Journey,6692047,86,249600,False,album,1981-07-17
Somewhere Only We Know,Keane,4017632,79,236160,False,album,2004-01-01
